Mês Ano;Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos
mar/25;63000 - Advocacia-Geral da União;63000 - Advocacia-Geral da União - Unidades com vínculo direto;48.885.924,02;349.950.597,30;352.935.287,23;7.908.354,93
mai/25;63000 - Advocacia-Geral da União;63000 - Advocacia-Geral da União - Unidades com vínculo direto;256.429.018,98;368.489.588,15;376.835.253,41;1.956.849,36
ago/25;63000 - Advocacia-Geral da União;63000 - Advocacia-Geral da União - Unidades com vínculo direto;50.224.294,67;380.002.255,75;338.338.069,18;6.994.613,24
jan/25;63000 - Advocacia-Geral da União;63000 - Advocacia-Geral da União - Unidades com vínculo direto;4.107.644.980,88;308.499.565,41;48.991.951,05;350.004.853,24
fev/25;63000 - Advocacia-Geral da União;63000 - Advocacia-Geral da União - Unidades com vínculo direto;30.066.799,05;347.132.537,02;324.026.853,94;27.301.855,93
abr/25;63000 - Advocacia-Geral da União;63000 - Advocacia-Geral da União - Unidades com vínculo direto;113.261.078,98;381.548.559,10;354.405.104,95;7.481.474,67
jun/25;63000 - Advocacia-Geral da União;63000 - Advocacia-Geral da União - Unidades com vínculo direto;-3.162.292,11;476.907.775,17;364.634.086,25;2.040.614,01
jul/25;63000 - Advocacia-Geral da União;63000 - Advocacia-Geral da União - Unidades com vínculo direto;73.890.115,61;385.574.405,06;476.698.873,83;3.610.523,27
mar/25;24000 - Ministério da Ciência, Tecnologia e Inovação;20402 - Agência Espacial Brasileira;885.453,78;2.213.072,20;2.007.834,70;528.659,82
jul/25;24000 - Ministério da Ciência, Tecnologia e Inovação;20402 - Agência Espacial Brasileira;3.738.658,06;3.166.126,97;3.463.028,11;816.337,04
jan/25;24000 - Ministério da Ciência, Tecnologia e Inovação;20402 - Agência Espacial Brasileira;13.048.551,69;1.794.094,73;497.056,38;2.577.985,53
abr/25;24000 - Ministério da Ciência, Tecnologia e Inovação;20402 - Agência Espacial Brasileira;1.679.720,60;3.578.683,84;2.739.957,76;1.319.341,75
mai/25;24000 - Ministério da Ciência, Tecnologia e Inovação;20402 - Agência Espacial Brasileira;9.927.258,64;2.918.638,43;3.360.641,72;756.169,26
jun/25;24000 - Ministério da Ciência, Tecnologia e Inovação;20402 - Agência Espacial Brasileira;1.059.015,28;3.600.108,52;3.306.746,29;689.009,22
fev/25;24000 - Ministério da Ciência, Tecnologia e Inovação;20402 - Agência Espacial Brasileira;2.468.764,86;1.430.606,23;1.462.108,65;1.052.158,14
ago/25;24000 - Ministério da Ciência, Tecnologia e Inovação;20402 - Agência Espacial Brasileira;1.844.405,07;880.173,15;2.578.574,79;81.572,54
mar/25;68000 - Ministério de Portos e Aeroportos;62201 - Agência Nacional de Aviação Civil;29.450.378,50;42.002.912,57;41.249.823,30;1.505.411,98
jul/25;68000 - Ministério de Portos e Aeroportos;62201 - Agência Nacional de Aviação Civil;57.032.251,29;49.130.354,82;47.188.870,28;627.535,86
jan/25;68000 - Ministério de Portos e Aeroportos;62201 - Agência Nacional de Aviação Civil;465.881.345,73;38.949.070,26;1.123.106,92;46.253.926,08
mai/25;68000 - Ministério de Portos e Aeroportos;62201 - Agência Nacional de Aviação Civil;-10.834.711,51;47.571.609,83;61.555.778,88;4.761.378,94
